Title,Employer,Location,Date,Description,Industry,Source,Link
Project Manager - Ubuntu Embedded Systems,Canonical - Jobs,Saint John,"Jun 23, 2024","The role of a Project Manager - Ubuntu Embedded Systems at Canonical As a Project Manager for Canonical’s Devices business, this role is responsible for the coordination and completion of large complex customer-facing projects, overseeing all...",Management,Startup Jobs,https://startup.jobs/project-manager-ubuntu-embedded-systems-canonical-jobs-5596386
"Manager, Embedded Devices Project Management",Canonical - Jobs,Saint John,"Jun 23, 2024","The role of a Manager, Embedded Devices Project Management at Canonical We are looking for project managers with an aptitude and interest in team leadership and management. Run a team of project management professionals, who track and drive delivery...",Management,Startup Jobs,https://startup.jobs/manager-embedded-devices-project-management-canonical-jobs-5594252
Enterprise Project Manager,Canonical - Jobs,Saint John,"Jun 23, 2024",The role of a Enterprise Project Manager at Canonical Canonical’s mission is to streamline and accelerate the adoption of open source across the entire global enterprise technology market. Our customers embrace the Canonical approach to open source...,Management,Startup Jobs,https://startup.jobs/enterprise-project-manager-canonical-jobs-5588236
Enterprise Customer Success Manager Americas,Canonical - Jobs,Saint John,"Jun 23, 2024","The role of an Enterprise Customer Success Manager at Canonical Customer success is a new and strategic department at Canonical, with a clear objective to reduce risk and churn, facilitate the adoption of new products or services and support...","Sales, Services",Startup Jobs,https://startup.jobs/enterprise-customer-success-manager-americas-canonical-jobs-5587841
Customer Success Manager Americas,Canonical - Jobs,Moncton,"Jun 23, 2024","The role of a Customer Success Manager at Canonical Customer success is a new and strategic department at Canonical, with a clear objective to reduce risk and churn, facilitate the adoption of new products or services and support expansion within...","Business, Finance, Administration",Startup Jobs,https://startup.jobs/customer-success-manager-americas-canonical-jobs-5582480
Enterprise Customer Success Manager Americas,Canonical - Jobs,Moncton,"Jun 23, 2024","The role of an Enterprise Customer Success Manager at Canonical Customer success is a new and strategic department at Canonical, with a clear objective to reduce risk and churn, facilitate the adoption of new products or services and support...","Sales, Services",Startup Jobs,https://startup.jobs/enterprise-customer-success-manager-americas-canonical-jobs-5587837
Partner Marketing Manager - Silicon Vendors,Canonical - Jobs,Moncton,"Jun 23, 2024","The role of a Partner Marketing Manager at Canonical Canonical is looking for a partner marketing manager who will be responsible for developing Canonical co-marketing relationships with silicon vendors (AMD, ARM, Intel, Qualcomm, Mediatek, NVIDIA,...",Management,Startup Jobs,https://startup.jobs/partner-marketing-manager-silicon-vendors-canonical-jobs-5595805
Partner Marketing Manager,Canonical - Jobs,Saint John,"Jun 23, 2024",The role of a Partner Marketing Manager at Canonical Canonical is looking for a partner marketing manager who will be responsible for developing our strategic relationships with a set of global partners . Canonical partners with the leading...,Management,Startup Jobs,https://startup.jobs/partner-marketing-manager-canonical-jobs-5595699
Partner Marketing Manager - Silicon Vendors,Canonical - Jobs,Saint John,"Jun 23, 2024","The role of a Partner Marketing Manager at Canonical Canonical is looking for a partner marketing manager who will be responsible for developing Canonical co-marketing relationships with silicon vendors (AMD, ARM, Intel, Qualcomm, Mediatek, NVIDIA,...",Management,Startup Jobs,https://startup.jobs/partner-marketing-manager-silicon-vendors-canonical-jobs-5595801
Cloud Support Associate Engineer,Canonical - Jobs,Moncton,"Jun 23, 2024",This role is an opportunity for a hands-on engineer with a passion for Linux and cloud technologies to build a career with Canonical and support the technical needs of customers leveraging Ubuntu and open source products. If you have a passion for...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/cloud-support-associate-engineer-canonical-jobs-5581874
Linux Desktop Support Associate,Canonical - Jobs,Saint John,"Jun 23, 2024",This is an opportunity for an entry level technologist with a passion for Linux and Customer Success to build a career with Canonical and support the technical needs of customers and Canonical staff. If you have a passion for technology and an...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/linux-desktop-support-associate-canonical-jobs-5592744
Technical Support Manager,Canonical - Jobs,Moncton,"Jun 23, 2024","Open source is now the centre of technology innovation, and the new default for tech and traditional companies alike. Canonical's Ubuntu is the fastest growing open source platform, with over 20 million users globally. Canonical provides commercial...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/technical-support-manager-canonical-jobs-5598968
Cloud Support Associate Engineer,Canonical - Jobs,Saint John,"Jun 23, 2024",This role is an opportunity for a hands-on engineer with a passion for Linux and cloud technologies to build a career with Canonical and support the technical needs of customers leveraging Ubuntu and open source products. If you have a passion for...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/cloud-support-associate-engineer-canonical-jobs-5581870
Global Alliances Revenue Operations Manager,Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical has opened a management position for an exceptional Revenue Operations leader to grow our global alliances and channel partner sales. Our Revenue Operations teams analyse and drive interventions to maximise net customer retention, and lead...",Management,Startup Jobs,https://startup.jobs/global-alliances-revenue-operations-manager-canonical-jobs-5588937
Security Engineer - Ubuntu,Canonical - Jobs,Moncton,"Jun 23, 2024","This is an exciting opportunity to join an industry leading software security team, and help protect the open source community and Ubuntu users from emerging threats. Canonical is building a team to provide security coverage across a wide range of...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/security-engineer-ubuntu-canonical-jobs-5601190
"Chief of Staff, Global Support Services",Canonical - Jobs,Moncton,"Jun 23, 2024","The Chief of Staff drives improvement in our global support organization. With your insights into engineering, operations and management, you will work with the VP Global Support to identify and deliver initiatives. Our company mission is to make...",Management,CareerBeacon,https://www.careerbeacon.com/en/job-9/1369618/canonical-jobs/chief-of-staff-global-support-services/moncton-nb
"Chief of Staff, Global Support Services",Canonical - Jobs,Saint John,"Jun 23, 2024","The Chief of Staff drives improvement in our global support organization. With your insights into engineering, operations and management, you will work with the VP Global Support to identify and deliver initiatives. Our company mission is to make...","Business, Finance, Administration",Startup Jobs,https://startup.jobs/chief-of-staff-global-support-services-canonical-jobs-5580818
Linux Cryptography and Security Engineer,Canonical - Jobs,Saint John,"Jun 23, 2024",This is a unique opportunity to use your software engineering and cryptography skills to build and maintain the security foundation that enables Ubuntu and its users to operate securely and remain compliant to international information security...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/linux-cryptography-and-security-engineer-canonical-jobs-5592526
"Web Frontend Engineer - JS, CSS, React, Flutter",Canonical - Jobs,Moncton,"Jun 23, 2024","This is a general track for applications to any team at Canonical that works with web-centric tech (JS, TypeScript, React, CSS, Flutter), across all seniority levels. Many of Canonical’s enterprise products have web front-ends. In order to create...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/web-frontend-engineer-js-css-react-flutter-canonical-jobs-5600892
